Model,Accuracy,Precision,Recall,F1,Avg Latency (ms)
CNN,0.9022435897435898,0.9061728395061729,0.941025641025641,0.9232704402515723,19.092646928933952
ResNet50,0.7564102564102564,0.738,0.9461538461538461,0.8292134831460675,26.330558153299187
EfficientNetB0,0.625,0.625,1.0,0.7692307692307693,48.917856736060905
